company_name,rating,bio,salary,job,founded_in
HDFC Ergo General Insurance,4.0,Insurance | Jaipur +324 other locations,12k,10,2002 (24 yrs old)
RBL Bank,3.5,Banking | Jaipur +284 other locations,18.3k,53,1943 (83 yrs old)
Cummins,4.3,Industrial Machinery | Jaipur +114 other locations,15.5k,8,1919 (107 yrs old)
Oyo Rooms,3.1,Internet | Jaipur +121 other locations,14.4k,127,2012 (14 yrs old)
Pidilite Industries,4.2,Chemicals | Jaipur +312 other locations,11.4k,3,
Alembic Pharmaceuticals,3.9,Pharma | Jaipur +187 other locations,15.3k,72,1907 (119 yrs old)
Reliance Communications,4.0,Telecom | Jaipur +467 other locations,9.6k,,2002 (24 yrs old)
Publicis Sapient,3.4,IT Services & Consulting | Jaipur +46 other locations,30.9k,254,
PVR INOX,3.9,Media & Entertainment | Jaipur +150 other locations,,,
Subros,3.8,Auto Components | Jaipur +88 other locations,12.5k,1,1985 (41 yrs old)
American Express,4.1,Financial Services | Jaipur +53 other locations,24.4k,149,1850 (176 yrs old)
XpressBees,4.2,Logistics | Jaipur +474 other locations,8.2k,10,2015 (11 yrs old)
Automatic Data Processing (ADP),3.9,Software Product | Jaipur +40 other locations,,,
PNB MetLife,3.4,Insurance | Jaipur +423 other locations,8k,15,2001 (25 yrs old)
Escorts Kubota Limited,4.1,Automobile | Jaipur +155 other locations,13.3k,3,
Aditya Birla Sun Life Insurance,4.0,Insurance | Jaipur +488 other locations,9.9k,,2000 (26 yrs old)
Grasim Industries,4.0,Building Material | Jaipur +241 other locations,12.7k,4,1947 (79 yrs old)
Aditya Birla Capital,3.8,NBFC | Jaipur +338 other locations,14.3k,3,2017 (9 yrs old)
Maersk,4.0,Logistics | Jaipur +49 other locations,18.9k,32,
Synechron,3.5,IT Services & Consulting | Jaipur +32 other locations,27.9k,61,2001 (25 yrs old)
Glenmark Pharmaceuticals,3.8,Pharma | Jaipur +184 other locations,12.1k,125,1977 (49 yrs old)
Birlasoft,3.5,IT Services & Consulting | Jaipur +50 other locations,29.7k,475,1995 (31 yrs old)
Dabur,3.8,FMCG | Jaipur +320 other locations,8.8k,22,1884 (142 yrs old)
Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances | Jaipur +165 other locations,,,
Samvardhana Motherson Group,3.7,Auto Components | Jaipur +93 other locations,12k,11,1986 (40 yrs old)
Cogent E Services,3.2,BPO | Jaipur +55 other locations,10.3k,1,2004 (22 yrs old)
Sodexo,4.0,Facility Management Services | Jaipur +156 other locations,9.7k,1.1k,1966 (60 yrs old)
JK Cement,4.0,Building Material | Jaipur +327 other locations,9.8k,1,1975 (51 yrs old)
KPIT Technologies,2.9,Software Product | Jaipur +44 other locations,22.9k,46,1990 (36 yrs old)
Kotak Mahindara Life Insurance,3.5,Insurance | Jaipur +256 other locations,12.7k,199,2001 (25 yrs old)
Abbott,4.1,Pharma | Jaipur +214 other locations,11.6k,252,1910 (116 yrs old)
Aarti Industries,4.1,Agro Chemicals | Jaipur +58 other locations,14.3k,11,1975 (51 yrs old)
Reliance Projects & Property Management Services,4.0,Other | Jaipur +617 other locations,,,
Ipca Laboratories,3.8,Pharma | Jaipur +160 other locations,11.5k,37,1949 (77 yrs old)
Indian Oil Corporation,4.3,Oil & Gas | Jaipur +308 other locations,7.8k,,1959 (67 yrs old)
MRF Tyres,3.6,Auto Components | Jaipur +193 other locations,12.7k,23,1946 (80 yrs old)
Reliance Digital,4.2,Retail | Jaipur +378 other locations,8k,1,2007 (19 yrs old)
Alkem Laboratories,3.9,Pharma | Jaipur +196 other locations,9.8k,12,
Johnson Controls,3.5,Industrial Automation | Jaipur +57 other locations,17.3k,5,
Honda Motorcycle & Scooter,4.1,Automobile | Jaipur +299 other locations,,,
IGT Solutions,3.2,BPO | Jaipur +47 other locations,13.5k,91,1998 (28 yrs old)
PhonePe,4.1,FinTech | Jaipur +390 other locations,12.6k,30,2015 (11 yrs old)
UNO Minda,4.0,Auto Components | Jaipur +109 other locations,11.2k,14,1958 (68 yrs old)
Vishal Mega Mart,3.8,Retail | Jaipur +377 other locations,6.1k,6,2008 (18 yrs old)
Hindustan Coca Cola Beverages,4.0,Beverage | Jaipur +258 other locations,7.6k,27,1997 (29 yrs old)
ArcelorMittal Nippon Steel,4.1,Iron & Steel | Jaipur +86 other locations,11.7k,,10k-50k
UBS,3.8,Financial Services | Jaipur +19 other locations,31.3k,2,1998 (28 yrs old)
DTDC Express,3.7,Logistics | Jaipur +270 other locations,,,
Ford Motor,4.2,Automobile | Jaipur +130 other locations,15.1k,,1903 (123 yrs old)
Bajaj General Insurance Limited,3.7,Insurance | Jaipur +303 other locations,10.7k,71,5k-10k
