company_name,rating,bio,salary,job,founded_in,field,other,city
ITC Infotech,3.7,IT Services & Consulting | Noida +67 other locations,29500.0,78.0,2000 (26 yrs old),IT Services & Consulting,Noida +67 other locations,noida
Home Credit Finance,4.0,NBFC | Noida +136 other locations,9400.0,96.0,2012 (14 yrs old),NBFC,Noida +136 other locations,noida
Bosch,4.1,Auto Components | Noida +130 other locations,23700.0,77.5,,Auto Components,Noida +130 other locations,noida
Randstad,3.7,Recruitment | Noida +352 other locations,16400.0,8.0,1992 (34 yrs old),Recruitment,Noida +352 other locations,noida
EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting | Noida +56 other locations,23700.0,77.5,,IT Services & Consulting,Noida +56 other locations,noida
Hewlett Packard Enterprise,4.1,IT Services & Consulting | Noida +103 other locations,27100.0,220.0,2015 (11 yrs old),IT Services & Consulting,Noida +103 other locations,noida
Utkarsh Small Finance Bank,3.6,Banking | Noida +407 other locations,10800.0,26.0,2009 (17 yrs old),Banking,Noida +407 other locations,noida
Mahindra Logistics,3.7,Logistics | Noida +233 other locations,280000.0,382.0,1986 (40 yrs old),Logistics,Noida +233 other locations,noida
Aditya Birla Fashion and Retail,4.1,Fashion & Textile | Noida +291 other locations,13100.0,76.0,,Fashion & Textile,Noida +291 other locations,noida
L&T Finance,3.9,NBFC | Noida +634 other locations,23700.0,77.5,,NBFC,Noida +634 other locations,noida
OPPO,3.9,Consumer Electronics & Appliances | Noida +410 other locations,11800.0,10.0,2004 (22 yrs old),Consumer Electronics & Appliances,Noida +410 other locations,noida
Dell,3.8,Consumer Electronics & Appliances | Noida +117 other locations,28700.0,16.0,1984 (42 yrs old),Consumer Electronics & Appliances,Noida +117 other locations,noida
CARS24,3.4,Internet | Noida +173 other locations,23700.0,77.5,,Internet,Noida +173 other locations,noida
Havells,3.9,Electrical Equipment | Noida +260 other locations,15500.0,34.0,1983 (43 yrs old),Electrical Equipment,Noida +260 other locations,noida
Intas Pharmaceuticals,4.1,Pharma | Noida +148 other locations,17300.0,54.0,1977 (49 yrs old),Pharma,Noida +148 other locations,noida
R1 RCM,3.8,BPO | Noida +46 other locations,21100.0,163.0,2007 (19 yrs old),BPO,Noida +46 other locations,noida
Tata AIA Life Insurance,3.9,Insurance | Noida +442 other locations,14100.0,680.0,2001 (25 yrs old),Insurance,Noida +442 other locations,noida
Hyundai Motor India Limited,4.1,Automobile | Noida +287 other locations,13800.0,3.0,1967 (59 yrs old),Automobile,Noida +287 other locations,noida
Deutsche Bank,3.8,Banking | Noida +42 other locations,36000.0,391.0,1870 (156 yrs old),Banking,Noida +42 other locations,noida
Hetero,3.9,Pharma | Noida +67 other locations,15000.0,141.0,,Pharma,Noida +67 other locations,noida
Motilal Oswal Financial Services,3.7,Financial Services | Noida +168 other locations,12900.0,45.0,,Financial Services,Noida +168 other locations,noida
Team Lease,3.9,Recruitment | Noida +396 other locations,16000.0,77.5,2016 (10 yrs old),Recruitment,Noida +396 other locations,noida
Berger Paints,3.7,Chemicals | Noida +353 other locations,10000.0,131.0,,Chemicals,Noida +353 other locations,noida
VE Commercial Vehicles,3.9,Automobile | Noida +179 other locations,14100.0,8.0,2008 (18 yrs old),Automobile,Noida +179 other locations,noida
Lenskart,3.3,Internet | Noida +240 other locations,13200.0,128.0,,Internet,Noida +240 other locations,noida
